driverId,date,name,ssn
10,4/18/2017,George Vetticaden,621011971
11,4/19/2017,Jamie Engesser,262112338
12,4/20/2017,Paul Coddin,198041975
13,4/21/2017,Joe Niemiec,139907145
14,4/22/2017,Adis Cesir,820812209
15,4/23/2017,Rohit Bakshi,239005227
16,4/24/2017,Tom McCuch,363303105
17,4/25/2017,Eric Mizell,123808238
18,4/26/2017,Grant Liu,171010151
19,4/27/2017,Ajay Singh,160005158
20,4/28/2017,Chris Harris,921812303
21,4/29/2017,Jeff Markham,209408086
22,4/30/2017,Nadeem Asghar,783204269
23,5/1/2017,Adam Diaz,928312208
24,5/2/2017,Don Hilborn,254412152
25,5/3/2017,Jean-Philippe Playe,913310051
26,5/4/2017,Michael Aube,124705141
27,5/5/2017,Mark Lochbihler,392603159
28,5/6/2017,Olivier Renault,959908181
29,5/7/2017,Teddy Choi,185502192
30,5/8/2017,Dan Rice,282307061
31,5/9/2017,Rommel Garcia,858912101
32,5/10/2017,Ryan Templeton,290304287
33,5/11/2017,Sridhara Sabbella,967409015
34,5/12/2017,Frank Romano,391407216
35,5/13/2017,Emil Siemes,971401151
36,5/14/2017,Andrew Grande,245303216
37,5/15/2017,Wes Floyd,190504074
38,5/16/2017,Scott Shaw,386411175
39,5/17/2017,David Kaiser,967706052
40,5/18/2017,Nicolas Maillard,208510217
41,5/19/2017,Greg Phillips,308103116
42,5/20/2017,Randy Gelhausen,853302254
43,5/21/2017,Dave Patton,977706052
